batting_team,bowling_team,venue,pitch_condition,temperature,humidity,overs_completed,runs_scored,wickets_lost,run_rate,last_5_overs_runs,striker_strike_rate,non_striker_strike_rate,partnership_runs,boundaries_hit,extras_conceded,predicted_total
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,bowling friendly,28,54,19.4,95,9,4.5,20,58.35,52.41,43,7,10,120
Rajasthan Royals,Gujarat Titans,M. Chinnaswamy Stadium,balanced,31,68,10.1,80,5,7.04,41,92.2,71.28,17,7,5,167
Rajasthan Royals,Mumbai Indians,Eden Gardens,batting friendly,35,85,18.3,145,5,7.76,35,100.86,93.62,21,14,12,159
Sunrisers Hyderabad,Chennai Super Kings,PCA Stadium,slow,26,90,13.2,65,4,4.64,28,63.48,59.72,38,4,15,120
Punjab Kings,Delhi Capitals,Rajiv Gandhi International Stadium,green,29,83,10.2,54,1,5.83,31,76.15,59.99,59,4,8,120
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,balanced,27,71,8.4,68,0,7.81,28,104.22,87.36,72,5,2,165
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,bowling friendly,29,80,15.6,82,0,5.1,29,61.22,53.61,88,8,14,120
Delhi Capitals,Punjab Kings,Sawai Mansingh Stadium,bowling friendly,35,38,12.6,74,4,5.35,32,65.93,61.77,33,5,7,123
Mumbai Indians,Chennai Super Kings,M. A. Chidambaram Stadium,balanced,27,57,13.8,99,6,6.93,37,86.04,79.96,66,9,6,138
Royal Challengers Bangalore,Delhi Capitals,PCA Stadium,batting friendly,38,65,10.5,102,2,9.21,52,122.04,112.83,78,6,12,189
Rajasthan Royals,Gujarat Titans,PCA Stadium,batting friendly,27,84,18.3,142,3,7.29,33,93.62,93.09,74,12,4,159
Rajasthan Royals,Lucknow Super Giants,M. Chinnaswamy Stadium,batting friendly,27,78,12.2,97,5,7.84,50,106.66,79.77,71,9,11,154
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi International Stadium,dry,26,87,5.7,34,2,6.32,19,87.85,68.29,72,3,4,120
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,dry,32,59,17.7,115,7,6.06,28,76.92,69.94,61,9,3,127
Delhi Capitals,Gujarat Titans,Narendra Modi Stadium,slow,36,58,16.2,91,3,5.76,32,77.03,74.33,29,8,12,120
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,flat,28,66,14.1,151,0,10.43,59,138.15,125.87,88,12,4,210
Delhi Capitals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,balanced,29,37,15.2,109,3,6.62,36,83.75,67.01,71,8,4,144
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,slow,30,67,12.1,71,5,5.38,29,70.7,64.78,64,4,5,125
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,green,33,90,10.6,64,1,6.25,36,86.05,64.37,83,6,10,120
Rajasthan Royals,Punjab Kings,Arun Jaitley Stadium,bowling friendly,35,37,12.6,51,7,4.5,22,61.77,52.01,42,4,8,120
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,flat,37,85,13.7,133,1,9.74,47,126.11,122.65,34,9,2,190
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,batting friendly,37,88,7.1,54,0,8.28,25,110.42,101.72,76,5,7,153
Lucknow Super Giants,Royal Challengers Bangalore,M. Chinnaswamy Stadium,batting friendly,39,36,6.3,55,4,8.84,30,108.96,114.37,51,5,13,175
Rajasthan Royals,Chennai Super Kings,Ekana Cricket Stadium,batting friendly,32,43,18.7,140,3,7.8,38,97.1,86.5,44,14,15,152
Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,bowling friendly,36,66,14.0,58,6,4.5,23,54.27,46.1,38,3,8,120
Punjab Kings,Rajasthan Royals,PCA Stadium,dry,35,69,8.0,47,2,6.4,20,85.73,65.45,71,4,10,126
Lucknow Super Giants,Punjab Kings,Eden Gardens,bowling friendly,31,50,19.6,100,4,4.78,31,57.38,55.9,51,6,6,120
Delhi Capitals,Chennai Super Kings,Eden Gardens,balanced,27,81,7.7,57,4,7.05,22,96.65,83.94,75,6,13,153
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,dry,25,75,14.5,81,8,5.57,34,68.41,62.03,10,7,5,120
Punjab Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,balanced,28,90,17.4,126,0,7.54,42,96.3,76.46,54,12,9,142
Rajasthan Royals,Chennai Super Kings,Eden Gardens,green,40,33,15.9,87,6,5.7,32,71.18,71.57,55,6,7,120
Lucknow Super Giants,Delhi Capitals,Sawai Mansingh Stadium,dry,25,60,18.0,113,3,6.34,33,78.9,76.28,25,11,7,133
Delhi Capitals,Lucknow Super Giants,Wankhede Stadium,batting friendly,40,35,8.9,81,3,8.24,29,102.26,101.9,26,6,2,185
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,bowling friendly,39,90,5.9,30,3,4.58,16,63.45,54.27,36,2,15,120
Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium,dry,26,77,14.2,98,5,6.26,34,86.44,79.05,73,6,12,141
Kolkata Knight Riders,Royal Challengers Bangalore,Ekana Cricket Stadium,batting friendly,26,81,6.7,55,0,8.71,31,120.6,93.86,31,5,12,161
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,bowling friendly,32,58,12.2,67,1,4.99,29,67.78,63.96,62,5,10,120
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,flat,37,78,8.8,69,1,8.52,25,111.81,106.39,62,6,2,164
Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,flat,29,58,6.9,58,1,8.99,29,120.56,91.23,83,5,13,177
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,dry,32,56,12.3,84,2,6.32,34,79.53,80.16,29,8,10,143
Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium,dry,32,48,19.2,112,8,5.88,28,78.62,59.11,39,9,7,122
Gujarat Titans,Kolkata Knight Riders,PCA Stadium,balanced,38,66,7.7,64,1,7.6,26,97.29,78.02,85,5,14,173
Kolkata Knight Riders,Sunrisers Hyderabad,PCA Stadium,flat,25,39,5.6,51,3,8.14,29,100.29,92.55,59,4,15,187
Delhi Capitals,Punjab Kings,Wankhede Stadium,balanced,28,52,14.7,91,5,6.28,37,87.89,69.49,19,9,12,123
Lucknow Super Giants,Mumbai Indians,Narendra Modi Stadium,dry,40,41,7.0,42,4,6.42,20,77.09,81.98,20,3,5,126
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,bowling friendly,25,41,17.4,109,0,6.42,37,77.9,73.48,68,9,3,129
Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,balanced,32,61,11.9,86,2,7.52,37,93.08,96.85,51,9,10,142
Mumbai Indians,Chennai Super Kings,Sawai Mansingh Stadium,slow,37,86,19.7,110,1,5.48,30,69.86,55.9,40,11,10,120
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,balanced,40,88,11.1,77,6,6.39,30,88.14,64.33,21,6,6,135
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,balanced,39,70,6.5,47,1,7.49,23,93.89,83.41,61,2,3,146
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,dry,34,74,18.5,103,10,5.53,28,72.85,71.85,30,10,5,120
Mumbai Indians,Chennai Super Kings,Eden Gardens,bowling friendly,26,44,7.3,43,0,5.12,15,62.21,62.23,88,3,11,120
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,dry,36,74,7.1,52,3,7.62,26,96.82,80.56,57,3,2,156
Gujarat Titans,Delhi Capitals,PCA Stadium,bowling friendly,35,65,6.2,46,2,6.3,23,85.3,78.05,46,4,4,148
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,flat,27,44,19.0,156,6,8.36,42,109.84,86.25,30,13,15,167
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,dry,30,87,10.9,73,3,6.58,35,79.96,77.08,58,7,7,135
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,bowling friendly,37,88,9.3,59,0,6.3,19,84.92,74.33,41,6,10,122
Punjab Kings,Gujarat Titans,Narendra Modi Stadium,slow,25,64,15.7,92,5,5.72,30,77.01,74.22,14,8,15,123
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,balanced,39,50,6.3,54,1,8.06,31,107.72,87.03,22,4,13,167
Punjab Kings,Chennai Super Kings,Rajiv Gandhi International Stadium,flat,27,73,5.5,45,2,8.31,31,99.98,101.49,27,4,3,160
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,batting friendly,31,70,5.8,54,3,8.01,26,96.29,82.65,61,5,2,187
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,flat,32,89,15.5,126,7,7.66,41,93.01,99.19,66,10,11,159
Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,balanced,29,76,11.6,61,6,5.43,32,73.58,69.47,24,6,14,120
Punjab Kings,Mumbai Indians,Eden Gardens,green,37,54,17.3,89,9,5.37,27,65.04,54.54,49,6,7,120
Rajasthan Royals,Gujarat Titans,Rajiv Gandhi International Stadium,slow,35,59,12.8,69,5,5.69,32,72.82,66.59,65,5,2,120
Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,batting friendly,38,57,13.8,123,2,8.88,41,112.26,100.09,43,10,14,177
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,batting friendly,33,84,11.4,109,0,8.99,51,122.44,107.5,54,7,3,188
Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,balanced,29,90,13.3,85,6,5.91,26,74.74,61.98,26,6,9,135
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,bowling friendly,39,66,17.6,87,4,4.69,24,58.5,49.6,68,7,5,120
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,green,28,78,13.2,87,0,6.42,34,87.53,74.11,75,7,2,132
Royal Challengers Bangalore,Chennai Super Kings,PCA Stadium,balanced,31,33,17.0,114,2,6.66,40,85.48,74.87,76,11,12,140
Delhi Capitals,Sunrisers Hyderabad,Narendra Modi Stadium,dry,32,89,5.7,40,0,7.53,29,97.71,94.27,89,3,7,141
Lucknow Super Giants,Royal Challengers Bangalore,Ekana Cricket Stadium,balanced,37,61,20.0,132,10,6.77,31,88.13,82.82,17,10,13,142
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,balanced,28,44,6.0,52,3,7.88,25,106.23,85.56,71,4,5,181
Kolkata Knight Riders,Royal Challengers Bangalore,Ekana Cricket Stadium,flat,39,73,8.7,89,1,9.2,36,118.17,116.93,28,5,13,206
Sunrisers Hyderabad,Royal Challengers Bangalore,M. A. Chidambaram Stadium,dry,33,54,6.1,40,0,6.6,24,80.46,71.59,26,3,11,131
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,flat,35,87,8.9,85,2,9.55,30,131.36,119.54,78,9,6,186
Delhi Capitals,Punjab Kings,Ekana Cricket Stadium,green,27,66,19.2,104,9,5.1,25,64.73,54.09,39,10,3,120
Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,green,37,79,9.8,59,2,5.99,20,74.14,60.02,73,5,5,120
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,bowling friendly,34,86,5.4,28,0,4.8,18,63.26,61.46,60,2,14,120
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,slow,34,48,5.2,29,3,5.08,17,70.31,62.99,43,2,2,120
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,bowling friendly,34,85,13.9,72,1,4.98,28,66.94,50.91,62,6,10,120
Royal Challengers Bangalore,Lucknow Super Giants,Ekana Cricket Stadium,dry,34,61,8.3,70,1,7.52,29,91.62,97.02,41,5,7,167
Royal Challengers Bangalore,Gujarat Titans,Ekana Cricket Stadium,green,32,36,6.7,42,2,5.59,21,68.34,69.09,81,4,5,122
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,flat,30,84,5.9,56,0,8.61,30,113.05,93.83,35,4,15,185
Chennai Super Kings,Delhi Capitals,Wankhede Stadium,slow,25,77,13.9,73,5,4.81,26,63.9,48.86,56,7,11,120
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi International Stadium,batting friendly,36,42,17.3,136,4,8.15,43,106.71,83.11,16,14,5,166
Rajasthan Royals,Mumbai Indians,Rajiv Gandhi International Stadium,flat,30,76,17.1,138,1,8.33,51,112.29,102.59,55,9,15,163
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,batting friendly,26,65,10.9,88,5,7.49,44,95.98,86.87,73,9,3,168
Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,slow,32,50,8.4,47,1,6.07,20,73.61,74.34,41,4,15,120
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,dry,30,85,12.8,73,4,6.12,38,83.73,66.91,29,6,5,120
Chennai Super Kings,Gujarat Titans,PCA Stadium,batting friendly,39,38,15.4,123,3,7.76,37,99.61,88.02,52,13,6,169
Punjab Kings,Gujarat Titans,Wankhede Stadium,bowling friendly,29,78,11.6,57,2,4.5,25,60.01,49.71,50,5,8,120
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,bowling friendly,39,65,13.6,79,4,5.37,25,69.29,57.89,72,5,2,120
Royal Challengers Bangalore,Gujarat Titans,Narendra Modi Stadium,batting friendly,31,31,6.0,50,0,8.87,27,114.29,103.75,39,5,3,165
Delhi Capitals,Sunrisers Hyderabad,Narendra Modi Stadium,slow,36,62,13.4,99,1,6.89,42,95.76,69.93,30,8,13,145
Sunrisers Hyderabad,Lucknow Super Giants,Wankhede Stadium,flat,26,76,7.6,66,2,7.9,28,96.03,95.01,65,6,3,174
Mumbai Indians,Kolkata Knight Riders,Arun Jaitley Stadium,flat,40,33,5.9,63,1,10.11,35,128.27,111.7,35,4,13,213
Lucknow Super Giants,Gujarat Titans,PCA Stadium,dry,28,62,15.0,122,0,7.58,41,97.52,84.93,42,8,6,165
Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium,dry,27,79,10.2,60,3,6.22,34,76.88,75.82,49,4,7,120
Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,bowling friendly,40,68,16.6,113,0,6.57,31,82.98,66.41,30,7,14,145
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,bowling friendly,28,61,18.8,80,6,4.5,22,58.05,45.35,61,5,14,120
Royal Challengers Bangalore,Chennai Super Kings,M. Chinnaswamy Stadium,flat,29,48,12.3,113,1,8.54,42,109.02,106.12,69,11,15,184
Mumbai Indians,Royal Challengers Bangalore,PCA Stadium,dry,38,36,15.8,115,7,6.88,43,86.21,74.44,15,10,15,143
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,bowling friendly,25,66,16.8,75,5,4.5,28,54.91,45.23,64,5,5,120
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,green,26,43,6.4,47,4,5.95,23,80.42,60.01,42,4,13,153
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,balanced,40,89,5.5,47,0,7.01,25,98.05,79.2,69,3,15,168
Gujarat Titans,Royal Challengers Bangalore,M. Chinnaswamy Stadium,batting friendly,36,83,5.8,62,0,9.18,32,112.15,114.87,69,5,4,214
Gujarat Titans,Chennai Super Kings,Wankhede Stadium,green,37,47,6.0,34,3,5.66,18,73.72,57.08,70,2,5,120
Gujarat Titans,Mumbai Indians,PCA Stadium,balanced,37,66,18.3,118,10,6.63,36,84.11,71.63,34,12,8,130
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,slow,26,32,15.1,87,1,6.03,29,80.89,70.66,67,9,13,120
Sunrisers Hyderabad,Royal Challengers Bangalore,Ekana Cricket Stadium,bowling friendly,29,78,6.2,37,4,4.68,15,56.35,46.81,21,2,10,120
Sunrisers Hyderabad,Punjab Kings,PCA Stadium,dry,33,50,16.3,132,0,7.76,37,97.69,83.4,42,13,7,160
Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Stadium,green,34,33,16.0,85,6,5.48,27,67.19,65.89,35,9,12,120
Mumbai Indians,Lucknow Super Giants,M. Chinnaswamy Stadium,bowling friendly,33,57,13.9,62,6,4.85,24,61.74,56.61,11,6,4,120
Chennai Super Kings,Rajasthan Royals,PCA Stadium,bowling friendly,29,32,16.1,79,5,5.07,25,67.88,61.81,20,8,11,120
Punjab Kings,Sunrisers Hyderabad,M. A. Chidambaram Stadium,batting friendly,36,70,5.3,45,0,9.05,32,119.35,97.82,85,3,12,172
Delhi Capitals,Rajasthan Royals,PCA Stadium,batting friendly,39,68,5.8,49,1,8.37,33,114.62,107.1,82,3,10,166
Delhi Capitals,Royal Challengers Bangalore,Sawai Mansingh Stadium,bowling friendly,25,42,8.2,48,1,5.43,16,74.29,65.37,24,3,9,122
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,green,29,61,17.1,109,3,6.11,28,79.69,73.99,41,11,8,124
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,dry,36,80,6.7,50,0,7.61,25,97.58,90.28,60,5,9,154
Sunrisers Hyderabad,Delhi Capitals,PCA Stadium,green,31,69,6.6,38,3,5.43,16,67.79,61.68,67,2,2,121
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,bowling friendly,27,90,13.7,86,0,6.09,34,82.8,71.3,89,7,7,129
Royal Challengers Bangalore,Rajasthan Royals,M. A. Chidambaram Stadium,bowling friendly,28,53,16.6,85,4,4.94,30,61.66,59.0,27,9,13,120
Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,balanced,40,46,18.3,145,3,8.1,44,109.64,98.83,36,11,10,167
Rajasthan Royals,Chennai Super Kings,M. A. Chidambaram Stadium,flat,31,41,14.4,128,4,8.43,46,110.17,91.89,15,8,6,183
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,bowling friendly,39,40,19.6,83,10,4.5,22,54.67,50.43,45,5,10,120
Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,batting friendly,39,51,7.2,71,0,9.14,31,111.47,118.58,46,6,3,202
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,batting friendly,37,58,12.1,88,5,7.62,43,91.69,95.33,15,8,10,141
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,slow,33,82,11.4,60,6,5.28,26,67.58,65.05,46,5,4,120
Punjab Kings,Lucknow Super Giants,Eden Gardens,batting friendly,26,67,10.2,87,1,8.95,48,120.44,110.76,46,7,14,167
Rajasthan Royals,Royal Challengers Bangalore,M. A. Chidambaram Stadium,green,38,35,5.8,36,2,6.16,22,75.92,70.82,61,2,2,120
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,balanced,32,43,9.6,70,5,6.65,23,89.46,83.72,41,7,9,142
Mumbai Indians,Lucknow Super Giants,PCA Stadium,slow,33,80,6.8,38,1,6.18,19,80.62,68.05,35,4,14,120
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,slow,33,74,13.0,68,4,5.03,26,61.54,55.89,19,5,11,120
Lucknow Super Giants,Punjab Kings,PCA Stadium,slow,37,30,17.5,92,5,5.49,30,72.11,57.88,39,5,8,120
Royal Challengers Bangalore,Punjab Kings,PCA Stadium,bowling friendly,32,52,15.5,74,7,4.5,20,55.35,48.01,50,8,11,120
Delhi Capitals,Chennai Super Kings,PCA Stadium,slow,38,31,17.8,114,3,6.29,34,86.96,80.71,74,9,5,138
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,bowling friendly,25,44,15.9,72,7,4.5,20,58.07,48.32,57,5,8,120
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,green,32,37,12.4,54,7,4.5,27,58.55,50.04,14,3,11,120
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,slow,39,62,10.9,69,4,6.47,38,82.15,81.01,37,4,2,123
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,dry,35,42,9.5,74,2,7.16,21,97.54,85.07,31,4,3,158
Delhi Capitals,Punjab Kings,Arun Jaitley Stadium,batting friendly,33,87,8.9,73,4,7.17,28,91.39,82.81,51,8,8,160
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,bowling friendly,25,79,9.6,41,5,4.5,14,61.75,48.08,26,4,15,120
Royal Challengers Bangalore,Rajasthan Royals,PCA Stadium,bowling friendly,34,63,5.3,28,1,5.84,18,79.4,69.07,40,3,11,120
Chennai Super Kings,Mumbai Indians,Eden Gardens,green,29,89,10.7,58,3,5.56,32,71.31,59.65,28,5,9,120
Mumbai Indians,Royal Challengers Bangalore,PCA Stadium,flat,40,77,19.4,155,5,8.0,50,99.86,84.38,68,11,9,165
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,dry,33,52,17.7,118,6,6.39,34,84.21,68.57,10,8,11,136
Kolkata Knight Riders,Punjab Kings,Sawai Mansingh Stadium,bowling friendly,25,60,14.0,70,3,4.57,22,56.53,52.72,54,6,10,120
Chennai Super Kings,Punjab Kings,Rajiv Gandhi International Stadium,bowling friendly,29,68,14.3,94,0,6.03,37,82.61,74.4,57,8,6,130
Gujarat Titans,Punjab Kings,M. Chinnaswamy Stadium,flat,27,87,16.6,160,1,9.34,52,126.47,118.15,68,17,10,194
Rajasthan Royals,Punjab Kings,Wankhede Stadium,bowling friendly,34,66,18.2,77,9,4.5,22,56.6,47.74,38,8,3,120
Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,dry,25,82,8.0,60,2,6.48,25,81.47,82.89,60,4,15,151
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,balanced,33,38,7.9,69,0,8.05,26,97.98,100.12,47,6,6,173
Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,green,29,34,9.5,55,3,5.17,17,66.14,55.68,22,4,4,120
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,dry,33,35,19.0,107,9,5.22,25,73.02,65.71,54,9,3,120
Delhi Capitals,Punjab Kings,Wankhede Stadium,green,31,49,13.0,81,2,5.74,36,71.67,65.43,75,8,9,123
Lucknow Super Giants,Mumbai Indians,Eden Gardens,bowling friendly,27,64,8.3,52,1,5.15,16,72.02,52.27,52,5,9,122
Delhi Capitals,Lucknow Super Giants,Wankhede Stadium,bowling friendly,28,86,8.5,43,5,4.79,16,60.95,52.22,71,3,2,120
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,dry,27,86,18.0,113,4,6.44,38,78.79,77.89,42,10,8,124
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,flat,32,59,11.9,114,4,9.49,55,125.45,101.5,42,7,6,193
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,bowling friendly,27,36,16.0,99,1,6.01,36,72.45,74.09,25,9,8,129
Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,dry,38,74,11.5,85,2,7.23,45,94.24,92.43,81,8,3,150
Chennai Super Kings,Gujarat Titans,PCA Stadium,balanced,37,57,5.4,44,3,6.85,22,90.33,84.06,67,3,13,171
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,flat,40,89,12.3,106,1,8.67,41,120.97,102.09,64,8,10,170
Delhi Capitals,Royal Challengers Bangalore,Arun Jaitley Stadium,balanced,36,30,5.6,48,3,7.59,28,95.4,83.19,32,3,5,170
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,dry,40,71,18.2,132,3,7.37,40,91.0,81.26,34,14,15,148
Royal Challengers Bangalore,Sunrisers Hyderabad,M. A. Chidambaram Stadium,batting friendly,27,47,7.1,60,4,7.22,23,93.6,77.35,50,4,6,170
Punjab Kings,Mumbai Indians,M. A. Chidambaram Stadium,bowling friendly,31,84,19.0,92,4,4.78,21,57.66,52.9,61,10,4,120
Chennai Super Kings,Punjab Kings,Rajiv Gandhi International Stadium,bowling friendly,38,44,6.8,41,0,6.34,21,86.13,67.06,37,4,10,126
